#	Type	Teff	logg	A_J_2MASS_1	A_J_2MASS_2	A_H_2MASS_1	A_H_2MASS_2	A_Ks_2MASS_1	A_Ks_2MASS_2	A_U_Bessell_1	A_U_Bessell_2	A_B_Bessell_1	A_B_Bessell_2	A_V_Bessell_1	A_V_Bessell_2	A_R_Bessell_1	A_R_Bessell_2	A_I_Bessell_1	A_I_Bessell_2	A_U_Bessell_noatmccd_1	A_U_Bessell_noatmccd_2	A_B_Bessell_noatmccd_1	A_B_Bessell_noatmccd_2	A_V_Bessell_noatmccd_1	A_V_Bessell_noatmccd_2	A_R_Bessell_noatmccd_1	A_R_Bessell_noatmccd_2	A_I_Bessell_noatmccd_1	A_I_Bessell_noatmccd_2	A_G_Gaia_1	A_G_Gaia_2	A_U_INT_1	A_U_INT_2	A_g_INT_1	A_g_INT_2	A_r_INT_1	A_r_INT_2	A_i_INT_1	A_i_INT_2	A_Ha_INT_1	A_Ha_INT_2	A_g_PANSTARRS_1	A_g_PANSTARRS_2	A_r_PANSTARRS_1	A_r_PANSTARRS_2	A_i_PANSTARRS_1	A_i_PANSTARRS_2	A_z_PANSTARRS_1	A_z_PANSTARRS_2	A_y_PANSTARRS_1	A_y_PANSTARRS_2	A_u_SDSS_1	A_u_SDSS_2	A_g_SDSS_1	A_g_SDSS_2	A_r_SDSS_1	A_r_SDSS_2	A_i_SDSS_1	A_i_SDSS_2	A_z_SDSS_1	A_z_SDSS_2	A_u_Skymapper_1	A_u_Skymapper_2	A_v_Skymapper_1	A_v_Skymapper_2	A_g_Skymapper_1	A_g_Skymapper_2	A_r_Skymapper_1	A_r_Skymapper_2	A_i_Skymapper_1	A_i_Skymapper_2	A_z_Skymapper_1	A_z_Skymapper_2	A_u_Stromgren_1	A_u_Stromgren_2	A_b_Stromgren_1	A_b_Stromgren_2	A_v_Stromgren_1	A_v_Stromgren_2	A_y_Stromgren_1	A_y_Stromgren_2	A_Hbn_Stromgren_1	A_Hbn_Stromgren_2	A_Hbw_Stromgren_1	A_Hbw_Stromgren_2	A_Z_UKIDSS_1	A_Z_UKIDSS_2	A_Y_UKIDSS_1	A_Y_UKIDSS_2	A_J_UKIDSS_1	A_J_UKIDSS_2	A_H_UKIDSS_1	A_H_UKIDSS_2	A_K_UKIDSS_1	A_K_UKIDSS_2	A_Z_VISTA_1	A_Z_VISTA_2	A_Y_VISTA_1	A_Y_VISTA_2	A_J_VISTA_1	A_J_VISTA_2	A_H_VISTA_1	A_H_VISTA_2	A_Ks_VISTA_1	A_Ks_VISTA_2	A_u_VST_1	A_u_VST_2	A_g_VST_1	A_g_VST_2	A_r_VST_1	A_r_VST_2	A_i_VST_1	A_i_VST_2	A_Ha_VST_1	A_Ha_VST_2
Rayleigh-Jeans	inf	inf	0.17204	-0.00018322	0.10196	-3.6395E-05	0.061372	-9.7847E-06	1.0812	-0.0010418	0.92009	-0.0028986	0.69757	-0.0018312	0.55197	-0.0027247	0.38559	-0.0006006	1.0965	-0.0011907	0.9275	-0.0029578	0.69735	-0.0018462	0.54706	-0.003037	0.37786	-0.00063283	0.70566	-0.015443	1.0877	-0.0010512	0.82697	-0.0026454	0.57644	-0.0014069	0.41111	-0.00071906	0.52109	-6.6599E-06	0.83383	-0.0033916	0.58092	-0.0015034	0.42269	-0.00058093	0.32827	-0.00019224	0.2553	-5.4844E-05	1.1041	-0.00094958	0.86234	-0.0031065	0.58431	-0.0011414	0.42549	-0.00060439	0.31311	-0.0004204	1.138	-0.0058926	1.037	-0.00029938	0.79386	-0.004301	0.59904	-0.0022458	0.40004	-0.00056974	0.30132	-0.00041251	1.1198	-0.00043635	0.85114	-0.00017689	0.97633	-0.00021437	0.68919	-0.00015475	0.81	-4.36E-06	0.80538	-6.3694E-05	0.31627	-0.00014807	0.23843	-7.9557E-05	0.16806	-6.4317E-05	0.10339	-4.6126E-05	0.059414	-1.2369E-05	0.31997	9.3689E-05	0.24276	-7.8083E-05	0.16776	-7.3822E-05	0.10246	-4.3907E-05	0.062958	-4.8216E-05	1.1041	-0.00099174	0.85873	-0.0031074	0.57322	-0.001507	0.42444	-0.00087228	0.51844	-8.663E-06
O9	33500	3.95	NAN	NAN	NAN	NAN	NAN	NAN	1.0791	-0.0010426	0.91738	-0.0029071	0.69685	-0.0018416	0.55027	-0.0027328	0.38539	-0.00060047	1.0944	-0.0011967	0.92469	-0.0029705	0.69663	-0.0018568	0.54521	-0.0030469	0.37764	-0.00063239	NAN	NAN	1.0857	-0.0010508	0.82461	-0.0026186	0.57541	-0.0014008	0.41081	-0.00071697	0.52109	-6.7977E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1028	-0.00094928	0.85923	-0.0030608	0.58349	-0.0011352	0.42518	-0.00060405	NAN	NAN	1.1438	-0.0074824	1.0357	-0.0003	0.79076	-0.00426	0.59767	-0.0022377	0.39982	-0.00056792	NAN	NAN	1.1194	-0.00043163	0.85101	-0.0001768	0.97598	-0.0002136	0.68912	-0.00015416	0.8101	-4.4447E-06	0.80532	-6.455E-05	0.31608	-0.00014778	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1038	-0.0010967	0.85587	-0.0030808	0.57211	-0.0014998	0.42404	-0.00086991	0.51838	-8.7585E-06
B0	31480	4.00	NAN	NAN	NAN	NAN	NAN	NAN	1.0785	-0.0010395	0.91719	-0.002906	0.6967	-0.0018391	0.55047	-0.0027387	0.38531	-0.00060058	1.0939	-0.0011962	0.92448	-0.0029695	0.69647	-0.0018542	0.54541	-0.0030538	0.37756	-0.00063206	NAN	NAN	1.0852	-0.0010481	0.82447	-0.0026171	0.57559	-0.0014027	0.41074	-0.00071777	0.52109	-6.822E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1024	-0.0009492	0.85904	-0.0030574	0.58366	-0.0011362	0.42515	-0.00060421	NAN	NAN	1.1443	-0.0076722	1.0356	-0.00030027	0.79045	-0.0042598	0.59776	-0.0022362	0.39975	-0.00056849	NAN	NAN	1.1193	-0.00043297	0.85101	-0.00017648	0.97594	-0.00021341	0.68911	-0.00015441	0.81012	-4.4624E-06	0.80532	-6.4732E-05	0.3161	-0.00014798	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1035	-0.0011094	0.85569	-0.0030787	0.5723	-0.0015022	0.42397	-0.00087074	0.51838	-8.7809E-06
B1	26490	4.00	NAN	NAN	NAN	NAN	NAN	NAN	1.0768	-0.0010326	0.91625	-0.0029021	0.69624	-0.0018401	0.55009	-0.0027496	0.38515	-0.00060105	1.0922	-0.0011968	0.92349	-0.0029665	0.69601	-0.0018551	0.54497	-0.0030671	0.37738	-0.00063198	NAN	NAN	1.0835	-0.0010422	0.82383	-0.0026096	0.57543	-0.0014032	0.41055	-0.00071772	0.5211	-6.8703E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1012	-0.00095045	0.85813	-0.0030405	0.58356	-0.0011356	0.42501	-0.00060426	NAN	NAN	1.1472	-0.0085829	1.0349	-0.00029928	0.78937	-0.0042541	0.59736	-0.0022311	0.39959	-0.00056832	NAN	NAN	1.119	-0.00043386	0.851	-0.00017544	0.97579	-0.0002128	0.68907	-0.00015453	0.81016	-4.4997E-06	0.80529	-6.5078E-05	0.31602	-0.00014792	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1029	-0.0011759	0.85487	-0.0030689	0.57212	-0.0015028	0.42375	-0.00087065	0.51836	-8.8206E-06
B2	23010	4.06	NAN	NAN	NAN	NAN	NAN	NAN	1.0753	-0.0010292	0.91557	-0.0028945	0.69598	-0.0018415	0.54976	-0.0027556	0.38504	-0.00060143	1.0907	-0.0012001	0.92274	-0.0029587	0.69575	-0.0018566	0.54459	-0.0030747	0.37726	-0.00063206	NAN	NAN	1.0821	-0.0010398	0.82349	-0.0026068	0.57527	-0.0014027	0.41043	-0.00071755	0.5211	-6.914E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1002	-0.00095354	0.85757	-0.0030292	0.58344	-0.0011346	0.42491	-0.00060431	NAN	NAN	1.1499	-0.009397	1.0343	-0.00029809	0.78879	-0.0042524	0.59706	-0.0022283	0.3995	-0.00056811	NAN	NAN	1.1188	-0.00043371	0.851	-0.00017459	0.97565	-0.00021194	0.68905	-0.00015455	0.81019	-4.5355E-06	0.80527	-6.5452E-05	0.31594	-0.00014782	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1026	-0.0012393	0.85442	-0.0030639	0.57193	-0.0015023	0.42361	-0.00087048	0.51834	-8.8526E-06
B3	19320	4.06	NAN	NAN	NAN	NAN	NAN	NAN	1.0727	-0.001019	0.91447	-0.0028856	0.69553	-0.0018454	0.5491	-0.0027666	0.38482	-0.00060234	1.0881	-0.0012023	0.92154	-0.0029498	0.6953	-0.0018605	0.54385	-0.003089	0.37701	-0.00063229	NAN	NAN	1.0796	-0.0010319	0.82283	-0.0026	0.57493	-0.0014015	0.4102	-0.00071743	0.52109	-6.9643E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0985	-0.00095834	0.85658	-0.0030105	0.58319	-0.0011329	0.42473	-0.0006044	NAN	NAN	1.1551	-0.010973	1.0331	-0.00029464	0.78772	-0.0042478	0.59646	-0.0022224	0.39931	-0.000568	NAN	NAN	1.1184	-0.00043306	0.85098	-0.00017348	0.97545	-0.00021078	0.68901	-0.0001546	0.81024	-4.5872E-06	0.80524	-6.6048E-05	0.3158	-0.00014759	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.102	-0.0013699	0.85358	-0.0030545	0.57156	-0.0015012	0.42333	-0.00087022	0.51832	-8.8816E-06
B5	15420	4.10	NAN	NAN	NAN	NAN	NAN	NAN	1.0687	-0.00099574	0.91288	-0.0028767	0.69491	-0.0018501	0.54826	-0.0027811	0.38454	-0.00060378	1.0841	-0.0011967	0.91984	-0.0029415	0.69468	-0.0018652	0.54289	-0.0031078	0.37669	-0.00063289	NAN	NAN	1.0758	-0.0010126	0.82176	-0.0025864	0.57451	-0.0014003	0.40992	-0.00071725	0.52109	-7.0529E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0958	-0.00096215	0.85506	-0.0029819	0.58288	-0.0011309	0.42451	-0.00060445	NAN	NAN	1.1628	-0.013504	1.0316	-0.00028866	0.78605	-0.0042345	0.59569	-0.0022147	0.39909	-0.00056786	NAN	NAN	1.1179	-0.00043201	0.85094	-0.0001723	0.97523	-0.00020961	0.68895	-0.0001546	0.81031	-4.6652E-06	0.80517	-6.6929E-05	0.31562	-0.00014717	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1012	-0.0016024	0.85221	-0.0030372	0.57111	-0.0015	0.423	-0.00086982	0.51827	-8.9337E-06
B6	14190	4.09	NAN	NAN	NAN	NAN	NAN	NAN	1.0672	-0.0009837	0.91241	-0.0028741	0.69474	-0.0018513	0.54803	-0.0027856	0.38446	-0.00060436	1.0825	-0.0011915	0.91933	-0.002939	0.6945	-0.0018664	0.54262	-0.0031138	0.37659	-0.00063329	NAN	NAN	1.0743	-0.0010024	0.82144	-0.0025822	0.5744	-0.0014001	0.40985	-0.00071715	0.52108	-7.0852E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0947	-0.00096274	0.85461	-0.0029734	0.58281	-0.0011303	0.42445	-0.00060445	NAN	NAN	1.1655	-0.014452	1.031	-0.00028592	0.78555	-0.00423	0.59549	-0.0022126	0.39904	-0.00056776	NAN	NAN	1.1177	-0.00043185	0.85092	-0.00017196	0.97517	-0.00020924	0.68893	-0.00015458	0.81034	-4.6906E-06	0.80515	-6.7215E-05	0.31554	-0.00014698	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.1008	-0.0016968	0.85181	-0.0030319	0.57098	-0.0014998	0.42291	-0.00086966	0.51826	-8.9534E-06
B7	12790	4.07	NAN	NAN	NAN	NAN	NAN	NAN	1.0627	-0.0009445	0.91121	-0.0028657	0.69437	-0.0018531	0.54753	-0.0027969	0.38427	-0.00060593	1.0779	-0.0011707	0.91803	-0.0029304	0.69413	-0.0018682	0.54204	-0.0031293	0.37635	-0.00063447	NAN	NAN	1.07	-0.00096877	0.82066	-0.0025721	0.57419	-0.0013998	0.40969	-0.0007169	0.52108	-7.1876E-06	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0914	-0.00096288	0.8535	-0.0029522	0.58267	-0.001129	0.42432	-0.00060448	NAN	NAN	1.1727	-0.017215	1.0294	-0.00027776	0.78439	-0.0042172	0.59508	-0.0022087	0.39891	-0.00056748	NAN	NAN	1.1171	-0.00043162	0.85089	-0.0001709	0.97498	-0.00020806	0.68889	-0.00015452	0.81042	-4.7669E-06	0.80509	-6.8123E-05	0.31533	-0.00014645	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	1.0999	-0.0020002	0.85081	-0.0030191	0.57074	-0.0014997	0.4227	-0.00086936	0.51821	-9.0184E-06
B8	11510	4.07	0.1716	-0.00018295	0.10169	-3.6331E-05	0.061338	-9.8072E-06	1.0619	-0.00094671	0.91043	-0.0028593	0.69418	-0.0018535	0.54727	-0.0028014	0.38456	-0.00060556	1.0771	-0.0011784	0.91718	-0.0029241	0.69394	-0.0018686	0.54175	-0.0031336	0.37665	-0.00063676	0.6557	-0.013643	1.0693	-0.00097273	0.82015	-0.0025664	0.57408	-0.0013997	0.40998	-0.00071045	0.52104	-7.2309E-06	0.82421	-0.0032168	0.57836	-0.0014839	0.42149	-0.00057739	0.32691	-0.00019452	0.25516	-4.4676E-05	1.0912	-0.00097147	0.85278	-0.0029392	0.58262	-0.0011282	0.42429	-0.00060353	0.31045	-0.00043299	1.1761	-0.018322	1.0288	-0.00027554	0.78367	-0.0042077	0.5949	-0.0022072	0.39922	-0.00056251	0.29878	-0.00041827	1.1173	-0.00042793	0.85092	-0.0001702	0.97484	-0.00020723	0.68888	-0.00015449	0.81035	-5.1511E-06	0.80497	-6.8532E-05	0.315	-0.00014472	0.23816	-7.9465E-05	0.16796	-6.442E-05	0.10307	-4.6139E-05	0.059369	-1.2385E-05	0.31891	0.00019743	0.2425	-7.872E-05	0.16761	-7.3678E-05	0.10215	-4.3705E-05	0.062732	-4.1038E-05	1.1005	-0.002146	0.85017	-0.0030116	0.57062	-0.0014997	0.42286	-0.00086344	0.51816	-8.9597E-06
